SIMRUN,TIMEINT,QUEUECOUNTER,QLEN,QLENMAX,QSTOPS
2,1140-1200,5,20.72,53.41,8
2,1140-1200,6,6.55,18.6,4
2,1140-1200,7,49,75.09,21
2,1200-1260,1,30.41,69.49,18
2,1200-1260,2,118.71,136.01,19
2,1200-1260,3,36.45,95.97,23
2,1200-1260,4,11.57,42.84,7
2,1200-1260,5,18.28,37.34,6
2,1200-1260,6,18.68,39.09,5
2,1200-1260,7,40,72.99,7
2,1260-1320,1,18.45,75.89,5
2,1260-1320,2,114.51,141.81,19
2,1260-1320,3,20.57,44.06,17
2,1260-1320,4,9.59,43.47,7
2,1260-1320,5,24.56,64.54,8
2,1260-1320,6,0.1,5.73,1
2,1260-1320,7,20.72,56,12
2,1320-1380,1,5.64,24.83,4
2,1320-1380,2,90.33,122.83,17
2,1320-1380,3,22.6,45.42,19
2,1320-1380,4,0.02,4.66,1
2,1320-1380,5,29.75,85.1,10
2,1320-1380,6,10.17,31.08,5
2,1320-1380,7,46.52,75.6,9
2,1380-1440,1,13.43,32.11,5
2,1380-1440,2,91.86,137.43,24
2,1380-1440,3,27.62,52.15,16
2,1380-1440,4,4.76,18.26,3
2,1380-1440,5,19.68,56.77,7
2,1380-1440,6,13.7,46.32,9
2,1380-1440,7,38.99,63.4,12
2,1440-1500,1,12.74,33.47,7
2,1440-1500,2,123.74,150.08,25
2,1440-1500,3,15.06,35.92,18
2,1440-1500,4,0.01,4.43,1
2,1440-1500,5,4.89,36.26,2
2,1440-1500,6,27.22,62.18,11
2,1440-1500,7,48.47,77.85,14
2,1500-1560,1,12.09,29.51,3
2,1500-1560,2,108.63,149.19,17
2,1500-1560,3,8.44,38.48,4
2,1500-1560,4,0.03,4.81,1
2,1500-1560,5,6.46,18.29,2
2,1500-1560,6,23.88,43.14,6
2,1500-1560,7,33.27,59.16,5
2,1560-1620,1,3.87,19.08,6
2,1560-1620,2,97.23,135.1,19
2,1560-1620,3,2.72,12.89,3
2,1560-1620,4,0,0,0
2,1560-1620,5,4.51,30.86,3
2,1560-1620,6,7.3,18.23,4
2,1560-1620,7,75.46,119.74,25
2,1620-1680,1,2.46,24.9,4
2,1620-1680,2,115.12,153.42,27
2,1620-1680,3,6.57,19.04,5
2,1620-1680,4,0,0,0
2,1620-1680,5,3.22,17.37,3
2,1620-1680,6,0.98,11.5,3
2,1620-1680,7,60.5,93.36,16
2,1680-1740,1,4.86,31.97,5
2,1680-1740,2,151.41,167.41,28
2,1680-1740,3,6.76,32.89,9
2,1680-1740,4,0.02,5.04,1
2,1680-1740,5,8.3,43.41,5
2,1680-1740,6,16.63,43.85,10
2,1680-1740,7,47.62,64.28,8
2,1740-1800,1,9.71,38.67,6
2,1740-1800,2,148.5,172.36,24
2,1740-1800,3,17.39,45.67,11
2,1740-1800,4,1.08,16.73,3
2,1740-1800,5,2.33,11.48,3
2,1740-1800,6,9.95,42.92,5
2,1740-1800,7,31.27,55.04,8
2,1800-1860,1,8.42,29.56,6
2,1800-1860,2,140.72,160.61,27
